x-axis,1,2
second,Volt,Volt
-25.00000E-03,+4.53832E-03,+39.21168E-03
-24.97500E-03,-245.60E-06,+38.70917E-03
-24.95000E-03,-5.02952E-03,+38.70917E-03
-24.92500E-03,-10.31595E-03,+38.97048E-03
-24.90000E-03,-15.42148E-03,+39.21168E-03
-24.87500E-03,-20.78832E-03,+39.21168E-03
-24.85000E-03,-25.15013E-03,+39.21168E-03
-24.82500E-03,-29.51193E-03,+39.15138E-03
-24.80000E-03,-34.73807E-03,+39.07098E-03
-24.77500E-03,-39.52199E-03,+39.21168E-03
-24.75000E-03,-44.30590E-03,+39.21168E-03
-24.72500E-03,-49.47173E-03,+38.82977E-03
-24.70000E-03,-54.83857E-03,+39.21168E-03
-24.67500E-03,-59.66269E-03,+39.21168E-03
-24.65000E-03,-64.44661E-03,+39.21168E-03
-24.62500E-03,-68.92902E-03,+39.21168E-03
-24.60000E-03,-73.51194E-03,+39.21168E-03
-24.57500E-03,-78.79837E-03,+39.21168E-03
-24.55000E-03,-83.58229E-03,+39.21168E-03
-24.52500E-03,-88.88882E-03,+39.21168E-03
-24.50000E-03,-94.25565E-03,+39.21168E-03
-24.47500E-03,-99.44158E-03,+39.21168E-03
-24.45000E-03,-104.48681E-03,+39.21168E-03
-24.42500E-03,-109.51194E-03,+39.21168E-03
-24.40000E-03,-114.21545E-03,+39.21168E-03
-24.37500E-03,-119.07977E-03,+39.71420E-03
-24.35000E-03,-124.36621E-03,+39.21168E-03
-24.32500E-03,-129.65264E-03,+39.21168E-03
-24.30000E-03,-134.67776E-03,+39.21168E-03
-24.27500E-03,-139.54209E-03,+39.21168E-03
-24.25000E-03,-144.80842E-03,+39.21168E-03
-24.22500E-03,-149.77324E-03,+39.21168E-03
-24.20000E-03,-154.57726E-03,+39.21168E-03
-24.17500E-03,-158.99937E-03,-161.23053E-03
-24.15000E-03,-163.86369E-03,-160.78831E-03
-24.12500E-03,-169.43153E-03,-160.78831E-03
-24.10000E-03,-174.71797E-03,-160.28580E-03
-24.07500E-03,-179.96420E-03,-160.28580E-03
-24.05000E-03,-185.29083E-03,-160.28580E-03
-24.02500E-03,-189.69284E-03,-160.28580E-03
-24.00000E-03,-194.55716E-03,-160.28580E-03
-23.97500E-03,-199.92400E-03,-160.28580E-03
-23.95000E-03,-204.78832E-03,-159.92399E-03
-23.92500E-03,-209.65264E-03,-160.28580E-03
-23.90000E-03,-214.99937E-03,-160.28580E-03
-23.87500E-03,-219.78329E-03,-159.88379E-03
-23.85000E-03,-224.56721E-03,-160.10490E-03
